domain,our_avg_utility,opp_avg_utility,avg_social_welfare,avg_nash_product
domain00,0.5691,0.4138,0.9828,0.2979
domain01,0.7493,0.7037,1.453,0.5532
domain02,0.8135,0.7696,1.5831,0.6507
domain03,0.5375,0.4162,0.9537,0.2736
domain04,0.539,0.477,1.016,0.2872
domain05,0.6187,0.5152,1.134,0.3673
domain06,0.8895,0.8488,1.7384,0.7747
domain07,0.4739,0.37,0.844,0.2296
domain08,0.7495,0.7167,1.4662,0.5632
domain09,0.7833,0.6816,1.4649,0.5987
domain10,0.9426,0.9096,1.8522,0.8637
domain11,0.63,0.578,1.208,0.4248
domain12,0.9362,0.874,1.8102,0.8227
domain13,0.8404,0.8127,1.6531,0.6782
domain14,0.8648,0.8094,1.6742,0.7395
domain15,0.9264,0.8785,1.8048,0.808
domain16,0.6799,0.5978,1.2776,0.4581
domain17,0.7401,0.6885,1.4285,0.5609
domain18,0.9209,0.8872,1.8081,0.8311
domain19,0.6703,0.6241,1.2944,0.4757
domain20,0.6591,0.6105,1.2696,0.451
domain21,0.5211,0.3666,0.8877,0.255
domain22,0.8465,0.8216,1.668,0.6799
domain23,0.7482,0.6888,1.4369,0.5744
domain24,0.7379,0.701,1.439,0.5616
domain25,0.941,0.9097,1.8507,0.853
domain26,0.6601,0.5911,1.2512,0.4487
domain27,0.6264,0.5691,1.1954,0.4092
domain28,0.8531,0.8189,1.6719,0.7306
domain29,0.7411,0.6684,1.4095,0.5534
domain30,0.5769,0.506,1.0829,0.3508
domain31,0.9496,0.9014,1.851,0.8721
domain32,0.7454,0.6989,1.4443,0.5725
domain33,0.8381,0.8043,1.6424,0.6928
domain34,0.7587,0.7092,1.4679,0.5916
domain35,0.8848,0.8313,1.7161,0.7624
domain36,0.7917,0.7464,1.5381,0.6332
domain37,0.4758,0.2015,0.6773,0.1413
domain38,0.7488,0.7277,1.4765,0.5554
domain39,0.6119,0.509,1.1208,0.3643
domain40,0.6901,0.6522,1.3423,0.4993
domain41,0.7609,0.6901,1.451,0.5706
domain42,0.7719,0.7271,1.499,0.5859
domain43,0.5864,0.4946,1.0809,0.3588
domain44,0.9249,0.8479,1.7728,0.808
domain45,0.8696,0.8226,1.6923,0.7481
domain46,0.5888,0.5328,1.1216,0.3571
domain47,0.6622,0.6068,1.269,0.4684
domain48,0.5884,0.4478,1.0362,0.3058
domain49,0.7171,0.6584,1.3755,0.5206
